Chapter ID,Book Name,Chapter,Text
0,Genesis,0,
1,Genesis,1,beginning God created heavens earth And earth was waste void darkness was face deep Spirit God moved face waters And God said Let be light was light And God saw light was good God divided light darkness And God called light Day darkness called Night was evening was morning one day And God said Let be firmament midst waters let divide waters waters And God made firmament divided waters were firmament waters were firmament was so And God called firmament Heaven was evening was morning second day And God said Let waters heavens be gathered together unto one place let dry land appear was so And God called dry land Earth gathering together waters called Seas God saw was good And God said Let earth put forth grass herbs yielding seed     fruit trees bearing fruit kind wherein is seed thereof earth was so And earth brought forth grass herbs yielding seed kind trees bearing fruit wherein is seed thereof kind God saw was good And there was evening was morning third day And God said Let be lights firmament heaven divide day night let be signs seasons days years let be lights firmament heaven give light earth was so And God made two great lights greater light rule day lesser light rule night   made stars also And God set firmament heaven give light earth rule day night divide light darkness God saw was good And there was evening was morning fourth day And God said Let waters swarm swarms living creatures let birds fly earth open firmament heaven And God created great sea monsters living creature moveth wherewith waters swarmed kind winged bird kind God saw was good And God blessed saying Be fruitful multiply fill waters seas let birds multiply earth And was evening was morning fifth day And God said Let earth bring forth living creatures kind cattle creeping things beasts earth kind was so And God made beasts earth kind cattle kind everything creepeth ground kind God saw was good And God said Let make man image likeness let have dominion fish sea birds heavens cattle earth creeping thing creepeth earth And God created man own image image God created male female created them And God blessed God said Be fruitful multiply replenish earth subdue have dominion fish sea birds heavens living thing moveth earth And God said Behold have given herb yielding seed is face earth tree is fruit tree yielding seed be food beast earth bird heavens everything creepeth earth wherein is life   have given   green herb food was so And God saw everything had made behold was very good was evening was morning sixth day 
2,Genesis,2,heavens earth were finished host them And seventh day God finished work had made rested seventh day work had made And God blessed seventh day hallowed rested work God had created made These are generations heavens earth were created day Jehovah God made earth heaven And plant field was yet earth herb field had yet sprung Jehovah God had not caused rain earth was not man till ground went mist earth watered whole face ground And Jehovah God formed man dust ground breathed nostrils breath life man became living soul And Jehovah God planted garden eastward Eden put man had formed And ground made Jehovah God grow tree is pleasant sight good food tree life also midst garden tree knowledge good evil And river went Eden water garden thence was parted became four heads The name first is Pishon is compasseth whole land Havilah is gold gold land is good is bdellium onyx stone And name second river is Gihon same is compasseth whole land Cush And name third river is Hiddekel is goeth front Assyria fourth river is Euphrates And Jehovah God took man put garden Eden dress keep it And Jehovah God commanded man saying tree garden thou mayest freely eat tree knowledge good evil thou shalt not eat day thou eatest thereof thou shalt surely die And Jehovah God said is not good man be alone make help meet him And ground Jehovah God formed beast field bird heavens brought man see call whatsoever man called living creature was name thereof And man gave names cattle birds heavens beast field man was not found help meet him And Jehovah God caused deep sleep fall man slept took one ribs closed flesh instead thereof rib Jehovah God had taken man made woman brought man And man said is now bone bones flesh flesh be called Woman was taken Man Therefore man leave father mother cleave wife be one flesh And were naked man wife were not ashamed 
3,Genesis,3,Now serpent was more subtle beast field Jehovah God had made said woman Yea hath God said Ye not eat tree garden woman said serpent fruit trees garden eat fruit tree is midst garden God hath said Ye not eat ye touch lest ye die And serpent said woman Ye not surely die God know day eat thereof then eyes be opened ye be God knowing good evil And woman saw tree was good food was delight eyes tree was be desired make one wise took fruit thereof did eat gave also unto husband did eat And eyes were opened knew were naked sewed fig leaves together made heard voice Jehovah God walking garden cool day man wife hid presence Jehovah God amongst trees garden And Jehovah God called man said unto Where art thou said heard thy voice garden was afraid was naked hid myself And said Who told thou wast naked Hast thou eaten tree whereof commanded thee thou shouldest not eat man said woman thou gavest be gave tree did eat And Jehovah God said woman is thou hast done woman said serpent beguiled did eat And Jehovah God said serpent thou hast done cursed art thou cattle beast field thy belly shalt thou go dust shalt thou eat days thy life put enmity thee woman thy seed seed bruise thy head thou shalt bruise heel Unto woman said greatly multiply thy pain thy conception pain thou shalt bring forth children thy desire be thy husband rule thee And unto Adam said thou hast hearkened voice thy wife hast eaten tree commanded thee saying Thou shalt not eat cursed is ground thy sake toil shalt thou eat days thy life thorns also thistles bring forth thee thou shalt herb field sweat thy face shalt thou eat bread till thou return ground wast thou taken dust thou art unto dust shalt thou return And man called wife name Eve was mother living And Jehovah God made Adam wife coats skins clothed them And Jehovah God said Behold man is become one know good evil now lest put hand take also tree life eat live ever therefore Jehovah God sent forth garden Eden till ground whence was taken So drove man placed east garden Eden Cherubim flame sword turned way keep way tree life 
4,Genesis,4,man knew Eve wife conceived bare Cain said have gotten man help   Jehovah And again bare brother Abel Abel was keeper sheep Cain was tiller ground And process time came pass Cain brought fruit ground offering unto Jehovah And Abel also brought firstlings flock fat thereof Jehovah had respect Abel offering unto Cain offering had not respect Cain was very wroth countenance fell And Jehovah said unto Cain art thou wroth is thy countenance fallen thou doest well not be lifted thou doest not well sin coucheth door thee be desire do thou rule it And Cain told Abel brother came pass were field Cain rose Abel brother slew him And Jehovah said unto Cain Where is Abel thy brother said know not am brother keeper said hast thou done voice thy brother blood crieth ground And now cursed art thou ground hath opened mouth receive thy brother blood thy hand thou tillest ground not henceforth yield unto thee strength fugitive wanderer shalt thou be earth And Cain said unto Jehovah My punishment is greater bear Behold thou hast day face ground thy face be hid be fugitive wanderer earth come pass whosoever findeth slay me And Jehovah said unto Therefore whosoever slayeth Cain vengeance be taken sevenfold Jehovah appointed sign Cain lest finding smite him And Cain went presence Jehovah dwelt land Nod east Eden And Cain knew wife conceived bare Enoch builded city called name city name son Enoch And Enoch was born Irad Irad begat Mehujael Mehujael begat Methushael Methushael begat Lamech And Lamech took two wives name one was Adah name other Zillah And Adah bare Jabal was father such dwell tents   have   cattle And brother name was Jubal was father such handle harp pipe And Zillah also bare Tubal cain forger cutting instrument brass iron sister Tubal cain was Naamah And Lamech said wives Adah Zillah hear voice Ye wives Lamech hearken unto speech have slain man wounding young man bruising Cain be avenged sevenfold Truly Lamech seventy sevenfold And Adam knew wife again bare son called name Seth   said   God hath appointed seed instead Abel Cain slew him And Seth also was born son called name Enosh Then began men call name Jehovah 
5,Genesis,5,is book generations Adam day God created man likeness God made male female created blessed called name Adam day were created And Adam lived hundred thirty years begat son   own likeness image called name Seth days Adam begat Seth were eight hundred years begat sons daughters And days Adam lived were nine hundred thirty years died And Seth lived hundred five years begat Enosh Seth lived begat Enosh eight hundred seven years begat sons daughters days Seth were nine hundred twelve years died And Enosh lived ninety years begat Kenan Enosh lived begat Kenan eight hundred fifteen years begat sons daughters days Enosh were nine hundred five years died And Kenan lived seventy years begat Mahalalel Kenan lived begat Mahalalel eight hundred forty years begat sons daughters days Kenan were nine hundred ten years died And Mahalalel lived sixty five years begat Jared Mahalalel lived begat Jared eight hundred thirty years begat sons daughters days Mahalalel were eight hundred ninety five years died And Jared lived hundred sixty two years begat Enoch Jared lived begat Enoch eight hundred years begat sons daughters days Jared were nine hundred sixty two years died And Enoch lived sixty five years begat Methuselah Enoch walked God begat Methuselah three hundred years begat sons daughters days Enoch were three hundred sixty five years Enoch walked God was not God took Methuselah lived hundred eighty seven years begat Lamech Methuselah lived begat Lamech seven hundred eighty two years begat sons daughters days Methuselah were nine hundred sixty nine years died And Lamech lived hundred eighty two years begat son called name Noah saying same comfort work toil hands   cometh   ground Jehovah hath cursed And Lamech lived begat Noah five hundred ninety five years begat sons daughters days Lamech were seven hundred seventy seven years died And Noah was five hundred years old Noah begat Shem Ham Japheth 
6,Genesis,6,came pass men began multiply face ground daughters were born sons God saw daughters men were fair took wives chose And Jehovah said My Spirit not strive man ever also is flesh yet days be hundred twenty years Nephilim were earth days also sons God came daughters men bare children same were mighty men were old men renown And Jehovah saw wickedness man was great earth imagination thoughts heart was only evil continually And repented Jehovah had made man earth grieved heart And Jehovah said destroy man have created face ground man beast creeping things birds heavens repenteth have made them But Noah found favor eyes Jehovah These are generations Noah Noah was righteous man     perfect generations Noah walked God And Noah begat three sons Shem Ham Japheth And earth was corrupt God earth was filled violence And God saw earth behold was corrupt flesh had corrupted way earth And God said unto Noah end flesh is come earth is filled violence behold destroy earth Make thee ark gopher wood rooms shalt thou make ark shalt pitch pitch And is thou shalt make length ark three hundred cubits breadth fifty cubits height thirty cubits A light shalt thou make ark cubit shalt finish upward door ark shalt thou set side thereof lower second third stories shalt thou make it And behold do bring flood waters earth destroy flesh wherein is breath life heaven everything is earth die But establish covenant thee thou shalt come ark thou thy sons thy wife thy sons wives thee And living thing flesh two sort shalt thou bring ark keep alive thee be male female Of birds kind cattle kind creeping thing ground kind two sort come unto thee keep take thou thee food is eaten gather thee be food thee them Thus did Noah according God commanded so did 
7,Genesis,7,Jehovah said unto Noah Come thou thy house ark thee have seen righteous generation Of clean beast thou shalt take thee seven seven male female beasts are not clean two male female birds also heavens seven seven male female keep seed alive face earth For yet seven days cause rain earth forty days forty nights living thing have made destroy face ground And Noah did according unto Jehovah commanded him And Noah was six hundred years old flood waters was earth And Noah went sons wife sons wives ark waters flood Of clean beasts beasts are not clean birds everything creepeth ground went two two unto Noah ark male female God commanded Noah And came pass seven days waters flood were earth In six hundredth year Noah life second month seventeenth day month same day were fountains great deep broken windows heaven were rain was earth forty days forty nights In selfsame day entered Noah Shem Ham Japheth sons Noah Noah wife three wives sons ark beast kind cattle kind creeping thing creepeth earth kind bird kind bird sort And went unto Noah ark two two flesh wherein is breath life And went went male female flesh God commanded Jehovah shut in And flood was forty days earth waters increased bare ark was lifted earth And waters prevailed increased greatly earth ark went face waters And waters prevailed exceedingly earth high mountains were whole heaven were covered Fifteen cubits upward did waters prevail mountains were covered And flesh died moved earth birds cattle beasts creeping thing creepeth earth man nostrils was breath spirit life was dry land died And living thing was destroyed was face ground man cattle creeping things birds heavens were destroyed earth Noah only was left were ark And waters prevailed earth hundred fifty days 
8,Genesis,8,God remembered Noah beasts cattle were ark God made wind pass earth waters assuaged fountains also deep windows heaven were stopped rain heaven was restrained waters returned earth continually end hundred fifty days waters decreased And ark rested seventh month seventeenth day month mountains Ararat And waters decreased continually tenth month tenth month first day month were tops mountains seen And came pass end forty days Noah opened window ark had made sent forth raven went forth fro waters were dried earth And sent forth dove see waters were abated face ground dove found rest sole foot returned unto ark waters were face whole earth put hand took brought unto ark And stayed yet other seven days again sent forth dove ark dove came eventide lo mouth olive leaf plucked so Noah knew waters were abated earth And stayed yet other seven days sent forth dove returned not again more And came pass six hundred first year first month first day month waters were dried earth Noah removed covering ark looked behold face ground was dried And second month seven twentieth day month was earth dry And God spake unto Noah saying Go forth ark thou thy wife thy sons thy sons wives thee Bring forth thee living thing is thee flesh birds cattle creeping thing creepeth earth breed abundantly earth be fruitful multiply earth And Noah went forth sons wife sons wives beast creeping thing bird moveth earth families went forth ark And Noah builded altar unto Jehovah took clean beast clean bird offered burnt offerings altar And Jehovah smelled sweet savor Jehovah said heart not again curse ground more man sake imagination man heart is evil youth again smite more everything living have done While earth remaineth seedtime harvest cold heat summer winter day night not cease 
9,Genesis,9,God blessed Noah sons said Be fruitful multiply replenish earth And fear dread be upon beast earth bird heavens wherewith ground teemeth fishes sea hand are delivered Every moving thing liveth be food green herb have given all But flesh life thereof   is blood thereof ye not eat And surely blood   blood   lives require hand beast require hand man even hand man brother require life man Whoso sheddeth man blood man blood be shed image God made man And be ye fruitful multiply bring forth abundantly earth multiply therein And God spake unto Noah sons saying behold establish covenant seed living creature is birds cattle beast earth go ark even beast earth And establish covenant flesh be cut more waters flood there more be flood destroy earth And God said is token covenant make living creature is perpetual generations do set bow cloud be token covenant earth And come pass bring cloud earth bow be seen cloud remember covenant is living creature flesh waters no more become flood destroy flesh And bow be cloud look remember everlasting covenant God living creature flesh is earth And God said unto Noah is token covenant have established flesh is earth And sons Noah went forth ark were Shem Ham Japheth Ham is father Canaan These three were sons Noah was whole earth Noah began be husbandman planted vineyard drank wine was drunken was uncovered tent And Ham father Canaan saw nakedness father told two brethren without And Shem Japheth took garment laid shoulders went backward covered nakedness father faces were backward saw not father nakedness And Noah awoke wine knew youngest son had done unto him And said Cursed be Canaan A servant servants be brethren And said Blessed be Jehovah God Shem let Canaan be servant God enlarge Japheth let dwell tents Shem let Canaan be servant And Noah lived flood three hundred fifty years And days Noah were nine hundred fifty years died 
